Name,Deprivation Index,Median family income,Precentage of Family with No Access to Telecommunication Systems,Precentage of Family with No Access to CellPhone,Precentage of Family with No Access to TelePhone,Precentage of Family with No Access to Internet,Precentage of Family with No Motor Vehicle,Precentage of People with No Qualification,Precentage of People with Below Deploma Qualification,Precentage of People with Diploma Qualification,Precentage of People with Bachelor Degree,Precentage of People with Postgraduate Degree,Precentage of People employed Full time,Precentage of People employed Part time,Precentage of People Unemployed
Oceanic-Northland Region,NaN,NaN,,,,,,,,,,,,,
Inlet-Rangaunu Harbour,NaN,NaN,,,,,,,,,,,,,
Inlet-Hokianga Harbour,NaN,NaN,,,,,,,,,,,,,
Inlet-Doubtless Bay,NaN,NaN,,,,,,,,,,,,,
Parua Bay,3,77000,0.4,15.6,9.6,14.4,1.593625498,15.27494908,44.39918534,13.64562118,13.64562118,8.350305499,71.0982659,23.41040462,5.202312139
Waitangi,6,53800,1.01010101,12.12121212,13.13131313,20.2020202,2,18.90547264,43.78109453,9.452736318,9.452736318,4.47761194,62.58992806,28.77697842,8.633093525
Bream Bay,5,60600,0.943396226,14.1509434,16.03773585,24.52830189,1.886792453,21.95121951,48.7804878,8.780487805,8.780487805,3.902439024,73.82550336,22.14765101,4.026845638
Waihou Valley-Hupara,5,63000,1.82767624,14.09921671,14.09921671,21.67101828,2.088772846,19.92136304,49.01703801,9.829619921,9.829619921,4.062909567,70.80536913,22.65100671,6.208053691
Marsden Point-Ruakaka,8,59800,2.237136465,14.54138702,18.79194631,28.41163311,4.464285714,27.54854369,46.48058252,8.131067961,8.131067961,3.519417476,68.59813084,21.12149533,10.09345794
Herekino,8,60100,5.454545455,31.81818182,17.72727273,37.72727273,3.619909502,33.56807512,46.00938967,7.276995305,7.276995305,2.582159624,68.72964169,21.17263844,10.09771987
Mangawhai,7,51700,1.104972376,13.25966851,14.91712707,20.99447514,1.657458564,22.42424242,50.3030303,8.787878788,8.787878788,2.727272727,62,31,7
Hokianga North,10,35700,8.080808081,49.49494949,23.23232323,57.57575758,6.5,40.22988506,42.24137931,5.459770115,5.459770115,2.011494253,61.11111111,23.14814815,16.66666667
Woodhill,9,55700,2.392344498,19.61722488,21.05263158,36.36363636,15.38461538,27.62148338,42.71099744,11.25319693,11.25319693,3.58056266,70.83333333,20.07575758,8.712121212
Regent,9,53100,2.843601896,20.85308057,21.32701422,35.07109005,19.71830986,25.6684492,41.17647059,10.96256684,10.96256684,5.080213904,68.22033898,21.18644068,10.16949153
Waipu,6,57900,0.896860987,15.24663677,13.4529148,26.00896861,5.855855856,22.79411765,46.07843137,10.29411765,10.29411765,4.166666667,69.61538462,25,5.384615385
Kaeo,10,43300,4.081632653,26.53061224,18.36734694,42.85714286,14.28571429,33.70786517,50.56179775,4.494382022,4.494382022,1.123595506,62.26415094,22.64150943,15.09433962
Western Hills,4,81300,3.571428571,14.28571429,14.28571429,14.28571429,NaN,16.36363636,45.45454545,16.36363636,16.36363636,7.272727273,71.42857143,19.04761905,7.142857143
Otangarei,10,31300,10.11904762,25,43.45238095,61.9047619,34.11764706,45.23809524,42.85714286,2.721088435,2.721088435,1.360544218,46.28571429,24.57142857,28.57142857
Bay of Islands,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mairtown,8,54400,1.714285714,25.14285714,15.14285714,38,14.61318052,26.73796791,44.38502674,9.803921569,9.803921569,3.743315508,66.56346749,24.14860681,8.978328173
Kensington,8,55000,0.588235294,19.41176471,15.88235294,34.70588235,14.61988304,24.05498282,43.64261168,11.34020619,11.34020619,4.467353952,68.27956989,22.04301075,9.677419355
Kaitaia West,10,38800,4.347826087,23.60248447,27.01863354,52.17391304,18.71165644,41.76570458,40.74702886,5.942275042,5.942275042,1.867572156,58.87323944,22.25352113,19.15492958
Kaiwaka,9,49200,2.898550725,13.04347826,24.63768116,33.33333333,5.882352941,31.38686131,50.3649635,4.379562044,4.379562044,3.649635036,68.08510638,23.40425532,8.510638298
Whau Valley,8,61800,1.351351351,18.58108108,14.52702703,29.72972973,8.783783784,26.53061224,41.74397032,11.50278293,11.50278293,4.823747681,68.32844575,22.28739003,9.090909091
Mangawhai Heads,7,50600,1.734104046,13.87283237,16.76300578,28.9017341,5.747126437,24.56747405,48.09688581,9.688581315,9.688581315,3.114186851,63.29113924,31.64556962,5.063291139
Ruawai,10,48300,3.50877193,19.29824561,21.05263158,43.85964912,7.01754386,44.08602151,46.23655914,4.301075269,4.301075269,1.075268817,66,22,14
Hokianga South,10,33900,8.904109589,44.8630137,25.34246575,48.28767123,8.532423208,36.09022556,42.85714286,6.203007519,6.203007519,3.947368421,56.49546828,25.0755287,18.12688822
Te Kopuru,10,36900,3.333333333,26.66666667,26.66666667,48.33333333,10,44.89795918,41.83673469,4.081632653,4.081632653,2.040816327,55.55555556,24.07407407,20.37037037
Whangaruru Harbour,NaN,NaN,,,,,,,,,,,,,
Maungaturoto,6,70400,1.149425287,18.3908046,13.79310345,36.7816092,9.195402299,31.28834356,51.53374233,5.521472393,5.521472393,1.840490798,68.57142857,26.66666667,3.80952381
Dargaville,9,48000,3.068592058,24.54873646,19.13357401,44.76534296,14.74820144,38.15648446,46.3022508,4.823151125,4.823151125,1.607717042,64.71600688,25.6454389,9.810671256
Mangapa-Matauri Bay,9,48900,2.62295082,20.98360656,20,36.39344262,4.918032787,30.10948905,46.71532847,6.569343066,6.569343066,3.467153285,63.76404494,26.68539326,9.550561798
Onerahi,9,63300,2.8,17.2,16.4,28,7.96812749,26.43171806,39.42731278,11.67400881,11.67400881,5.50660793,67.62820513,21.79487179,11.21794872
Sherwood Rise,8,53600,1.464435146,16.31799163,13.38912134,28.66108787,7.083333333,27.79069767,45.46511628,8.720930233,8.720930233,3.139534884,66.31016043,21.92513369,11.58645276
Hikurangi,10,45500,2.649006623,19.86754967,23.8410596,40.39735099,7.947019868,36.46209386,48.37545126,4.693140794,4.693140794,1.805054152,68.33333333,17.22222222,14.44444444
Kaitaia East,10,39400,3.428571429,24.57142857,22.85714286,50.28571429,16,39.93610224,43.45047923,4.792332268,4.792332268,0.958466454,60.10362694,23.31606218,17.0984456
Karikari Peninsula-Maungataniw,9,44700,4.127579737,27.20450281,20.0750469,35.83489681,3.745318352,31.7671093,47.49744637,6.435137896,6.435137896,3.064351379,63.26530612,25.58869702,11.30298273
Inlet-Bay of Islands,NaN,NaN,,,,,,,,,,,,,
Inlet-Tutukaka Harbour,NaN,52500,20,20,NaN,20,20,28.57142857,28.57142857,NaN,NaN,NaN,83.33333333,16.66666667,NaN
Inlet-Port Whangarei,NaN,NaN,,,,,,,,,,,,,
Inlet-Kaipara Harbour North,NaN,NaN,,,,,,,,,,,,,
Inlet-Whangaroa Harbour,NaN,27500,NaN,NaN,NaN,33.33333333,33.33333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Inlet-Whangarei Harbour,NaN,NaN,,,,,,,,,,,,,
Inlet-Mangawhai Harbour,NaN,NaN,,,,,,,,,,,,,
Ngapuhi-Kaikou,10,50400,4.07239819,24.43438914,25.7918552,44.79638009,6.306306306,34.81152993,46.78492239,7.095343681,7.095343681,1.77383592,63.20754717,21.69811321,15.09433962
Okaihau,9,60800,2.816901408,15.49295775,19.71830986,33.8028169,5.633802817,30.82706767,46.61654135,7.518796992,7.518796992,3.007518797,66.66666667,21.875,10.41666667
Kapiro,5,65000,1.238390093,12.69349845,10.83591331,17.64705882,0.92879257,17.5,45.9375,13.4375,13.4375,4.53125,68.19172113,25.708061,5.882352941
Otaika-Portland,6,65700,0.840336134,12.60504202,12.60504202,21.00840336,1.680672269,24.29149798,52.63157895,8.097165992,8.097165992,2.834008097,71.20418848,19.89528796,8.90052356
Punaruku-Kiripaka,7,62500,2.114164905,20.0845666,16.49048626,27.48414376,2.53164557,23.00981461,47.00109051,9.923664122,9.923664122,5.34351145,68.35637481,24.7311828,6.758832565
Ohaeawai,8,55000,3.333333333,20,18.88888889,32.22222222,5.555555556,25.78616352,45.28301887,9.433962264,9.433962264,5.660377358,70.1754386,21.05263158,8.771929825
Port-Limeburners,10,45000,NaN,25,50,25,NaN,22.22222222,33.33333333,NaN,NaN,11.11111111,83.33333333,16.66666667,16.66666667
Raumanga West,10,45700,3.94265233,15.05376344,27.59856631,36.91756272,15.3024911,32.18181818,46.72727273,7.636363636,7.636363636,1.272727273,61.4973262,19.51871658,18.71657754
Houhora,9,45000,7.01754386,49.12280702,14.03508772,39.47368421,3.47826087,36.54822335,45.17766497,5.076142132,5.076142132,2.538071066,63.90977444,26.31578947,9.022556391
Raumanga East,10,41000,6.211180124,18.63354037,38.50931677,51.55279503,17.90123457,38.17567568,44.59459459,5.743243243,5.743243243,2.364864865,59.2039801,17.91044776,22.88557214
Kerikeri,7,57700,1.451027811,16.68681983,12.09189843,22.37001209,5.655836342,19.35691318,42.89389068,11.25401929,11.25401929,4.887459807,65.34148828,26.29969419,8.256880734
Maunu,4,73900,0.609756098,15.85365854,6.707317073,18.90243902,3.658536585,20.23809524,41.66666667,12.20238095,12.20238095,6.547619048,71.06598985,21.82741117,6.598984772
Parahaki,5,68800,0.71942446,15.82733813,15.10791367,20.14388489,3.571428571,20.22058824,49.63235294,9.191176471,9.191176471,5.147058824,74.16267943,19.61722488,5.741626794
Morningside,9,54500,4.761904762,18.61471861,26.40692641,32.9004329,12.17391304,29.7235023,44.93087558,8.525345622,8.525345622,3.456221198,68.05111821,19.48881789,12.77955272
Waiotira-Springfield,6,65400,0.858369099,15.02145923,13.73390558,24.46351931,2.155172414,24.7826087,51.52173913,9.130434783,9.130434783,2.826086957,71.06017192,23.20916905,6.017191977
Whangarei Central,10,72500,5.263157895,15.78947368,26.31578947,31.57894737,21.05263158,20,40,15,15,7.5,75,12.5,9.375
Kohukohu,10,25400,4.347826087,34.7826087,17.39130435,34.7826087,4.347826087,21.05263158,52.63157895,7.894736842,7.894736842,7.894736842,45.45454545,36.36363636,18.18181818
Vinetown,10,43800,3.255813953,25.58139535,27.90697674,46.51162791,23.72093023,28.10650888,44.37869822,10.0591716,10.0591716,3.550295858,64.76190476,22.38095238,13.33333333
Horahora,7,65600,0.763358779,15.26717557,14.50381679,24.42748092,6.818181818,20.84942085,44.78764479,14.67181467,14.67181467,6.563706564,73.03370787,17.41573034,9.550561798
Rehia-Oneriri,7,54000,2.802359882,18.14159292,17.99410029,29.20353982,2.654867257,28.03445576,48.86452623,7.047768207,7.047768207,2.975724354,67.27272727,25.34090909,7.386363636
Omapere and Opononi,10,28500,3.846153846,26.92307692,30.76923077,50,15.38461538,31.70731707,48.7804878,4.87804878,4.87804878,2.43902439,46.93877551,36.73469388,16.32653061
Riverside,7,60300,3.738317757,14.01869159,30.8411215,31.77570093,15.09433962,18.57923497,43.71584699,13.66120219,13.66120219,7.103825137,67.1875,24.21875,8.59375
Opua West,5,63800,NaN,14.28571429,20,20,NaN,10,51.66666667,6.666666667,6.666666667,5,66.66666667,28.57142857,9.523809524
Rawene,10,37500,6.557377049,31.14754098,26.2295082,52.45901639,14.75409836,29,42,10,10,6,59.3220339,25.42372881,16.94915254
Awanui,9,61700,2.777777778,19.44444444,25,47.22222222,8.333333333,38.88888889,45.83333333,4.166666667,4.166666667,1.388888889,59.61538462,23.07692308,17.30769231
Opouteke-Tanekaha,4,73800,1.369863014,13.3072407,10.17612524,19.17808219,1.3671875,22.20131703,49.38852305,9.971777987,9.971777987,4.045155221,71.12763321,23.42007435,5.328376704
Te Hihi,2,90500,1.438848921,16.54676259,7.194244604,20.14388489,2.877697842,14.6953405,44.80286738,16.12903226,16.12903226,7.168458781,71.71717172,24.74747475,4.04040404
Wharekohe-Oakleigh,4,74700,1.165501166,13.51981352,9.324009324,19.11421911,1.398601399,19.52662722,50.76923077,11.12426036,11.12426036,3.905325444,73.24159021,21.55963303,5.351681957
Bream Head,4,62000,1.675977654,12.29050279,11.17318436,17.87709497,2.777777778,17.41741742,42.94294294,12.91291291,12.91291291,6.606606607,68.60986547,26.00896861,5.829596413
Motutangi-Kareponia,8,55000,2.116402116,19.04761905,15.34391534,32.27513228,3.157894737,32.38636364,47.15909091,7.102272727,7.102272727,2.272727273,68.16479401,23.97003745,8.239700375
Ngunguru,5,66000,1.428571429,13.80952381,12.85714286,21.42857143,3.317535545,18.5483871,45.16129032,12.3655914,12.3655914,8.064516129,67.20647773,28.34008097,4.048582996
Abbey Caves,1,81300,1.408450704,9.85915493,7.042253521,11.26760563,1.428571429,14.18918919,51.35135135,11.48648649,11.48648649,7.432432432,74.13793103,21.55172414,3.448275862
Ahipara,9,46300,4.504504505,21.62162162,26.12612613,41.44144144,8.035714286,26.76056338,44.60093897,10.3286385,10.3286385,4.694835681,64.05228758,22.87581699,12.41830065
Pokere-Waihaha,9,50900,3.249097473,20.2166065,20.93862816,35.37906137,5.017921147,27.72466539,47.22753346,6.692160612,6.692160612,3.632887189,63.66197183,25.63380282,10.98591549
Pataua-Whareora,4,74500,0.78125,20.3125,10.9375,17.96875,0.78125,15.3256705,48.27586207,12.64367816,12.64367816,6.896551724,70.05076142,23.85786802,6.598984772
Kamo West,6,62800,0.875273523,19.25601751,9.190371991,28.66520788,9.6069869,24.68134415,46.23406721,10.19698725,10.19698725,3.59212051,71.45669291,22.04724409,6.496062992
Springs Flat,5,78000,1.242236025,12.42236025,15.52795031,18.01242236,1.851851852,21.26436782,51.14942529,10.63218391,10.63218391,2.873563218,70.47244094,22.04724409,8.267716535
North Cape,10,40800,6.12244898,71.42857143,14.28571429,42.85714286,10,54.02298851,33.33333333,2.298850575,2.298850575,1.149425287,60,27.27272727,12.72727273
Moerewa,10,37500,5,20.83333333,40.83333333,58.33333333,12.5,45.41484716,44.54148472,4.366812227,4.366812227,NaN,60,21.33333333,20
Tikipunga West,10,50200,1.955307263,17.59776536,18.43575419,37.4301676,12.53481894,36.36363636,45.29505582,5.422647528,5.422647528,1.754385965,62.20472441,23.09711286,14.69816273
Kawakawa,10,40700,6.451612903,20.16129032,34.67741935,51.61290323,17.07317073,37.16814159,42.03539823,7.522123894,7.522123894,2.654867257,64.05228758,20.91503268,15.68627451
Kaikohe,10,35100,7.82122905,22.62569832,36.31284916,54.46927374,18.61111111,40.78549849,45.16616314,5.135951662,5.135951662,1.208459215,55.50351288,22.71662763,21.54566745
Kaipara Coastal,7,57800,3.733333333,26.13333333,16.53333333,33.6,4,32.9004329,47.61904762,6.493506494,6.493506494,2.597402597,69.93987976,23.44689379,7.014028056
Paihia,8,54300,3.738317757,19.1588785,23.8317757,30.37383178,8.411214953,21.73913043,43.98976982,8.95140665,8.95140665,4.859335038,72.42647059,21.32352941,6.617647059
Russell,6,55600,1.960784314,13.7254902,16.66666667,23.52941176,7.843137255,14.73684211,45.78947368,11.57894737,11.57894737,6.842105263,63.49206349,30.15873016,5.555555556
Maungatapere,3,78900,NaN,11.9205298,5.960264901,14.56953642,0.662251656,19.49685535,45.28301887,12.89308176,12.89308176,2.830188679,71.55172414,23.27586207,5.172413793
Opua East,5,58300,2.5,10,12.5,22.5,2.43902439,16,45.33333333,13.33333333,13.33333333,8,67.34693878,26.53061224,6.12244898
Haruru Falls,7,51800,2.857142857,12.38095238,23.80952381,26.66666667,3.773584906,22.11055276,46.23115578,7.035175879,7.035175879,4.020100503,71.64179104,21.64179104,6.71641791
Kamo East,9,55200,2.046035806,15.60102302,19.43734015,32.48081841,7.948717949,27.78561354,49.92947814,7.757404795,7.757404795,1.97461213,69.33867735,19.83967936,10.82164329
Three Mile Bush,3,85700,1.869158879,11.21495327,7.476635514,17.75700935,2.803738318,17.67241379,49.13793103,10.77586207,10.77586207,3.448275862,70.93023256,25,4.069767442
Taipa Bay-Mangonui,9,48600,2.479338843,17.76859504,17.76859504,30.99173554,6.198347107,29.0726817,40.35087719,10.52631579,10.52631579,5.012531328,62.96296296,27.77777778,9.259259259
Tikipunga East,9,56700,2.011494253,16.66666667,14.36781609,30.17241379,9.142857143,30.22151899,46.20253165,7.436708861,7.436708861,1.898734177,68.62745098,19.85294118,11.51960784
Maungaru,6,66900,1.470588235,19.60784314,12.25490196,28.92156863,1.941747573,28.53470437,52.9562982,6.16966581,6.16966581,1.542416452,75.08090615,20.06472492,5.177993528
